Loading pretrained word embeddings.
Loading pretrained word embeddings.
mm_batchgen...
Loading images...
Loading images takes: 7.33s

(10000, 32, 32, 3) (2000, 32, 32, 3)
Loading text...
Loading text takes: 10.07s

25000 25000
mm_dataset 0-1
mm_dataset 1-0
mm_dataset 1-1
mm_dataset 2-1
mm_dataset 1-2
mm_dataset 2-0
mm_dataset 2-2
mm_dataset 0-2
mm_dataset 0-1
mm_dataset 1-0
mm_dataset 1-1
mm_dataset 2-1
mm_dataset 1-2
mm_dataset 2-0
mm_dataset 2-2
mm_dataset 0-2
Step 82, 1-0, mm Loss: 0.287754, Accuracy:  50.000000 %
Step 83, 1-1, mm Loss: 0.205648, Accuracy:  62.500000 %
Step 84, 2-1, mm Loss: 0.140970, Accuracy:  31.250000 %
Step 85, 1-2, mm Loss: 0.136024, Accuracy:  56.250000 %
Step 86, 2-0, mm Loss: 0.192662, Accuracy:  68.750000 %
Step 87, 2-2, mm Loss: 0.067915, Accuracy:  62.500000 %
Step 88, 0-2, mm Loss: 0.191844, Accuracy:  68.750000 %
Step 89, 0-1, mm Loss: 0.268425, Accuracy:  62.500000 %
Step 90, 1-0, mm Loss: 0.316196, Accuracy:  37.500000 %
Step 91, 1-1, mm Loss: 0.202655, Accuracy:  62.500000 %
Step 92, 2-1, mm Loss: 0.125213, Accuracy:  75.000000 %
Step 93, 1-2, mm Loss: 0.145023, Accuracy:  31.250000 %
Step 94, 2-0, mm Loss: 0.232791, Accuracy:  37.500000 %
Step 95, 2-2, mm Loss: 0.071966, Accuracy:  25.000000 %
Step 96, 0-2, mm Loss: 0.220645, Accuracy:  37.500000 %
Step 97, 0-1, mm Loss: 0.278115, Accuracy:  56.250000 %
Step 98, 1-0, mm Loss: 0.293214, Accuracy:  37.500000 %
Step 99, 1-1, mm Loss: 0.210230, Accuracy:  56.250000 %
Step 100, 2-1, mm Loss: 0.139584, Accuracy:  50.000000 %
Step 101, 1-2, mm Loss: 0.140741, Accuracy:  50.000000 %
Step 102, 2-0, mm Loss: 0.206102, Accuracy:  56.250000 %
Step 103, 2-2, mm Loss: 0.067721, Accuracy:  56.250000 %
Step 104, 0-2, mm Loss: 0.207288, Accuracy:  50.000000 %
Step 105, 0-1, mm Loss: 0.257452, Accuracy:  56.250000 %
Step 106, 1-0, mm Loss: 0.291290, Accuracy:  43.750000 %
Step 107, 1-1, mm Loss: 0.198942, Accuracy:  68.750000 %
Step 108, 2-1, mm Loss: 0.142488, Accuracy:  50.000000 %
Step 109, 1-2, mm Loss: 0.131290, Accuracy:  68.750000 %
Step 110, 2-0, mm Loss: 0.199424, Accuracy:  62.500000 %
Step 111, 2-2, mm Loss: 0.067916, Accuracy:  62.500000 %
Step 112, 0-2, mm Loss: 0.218620, Accuracy:  37.500000 %
Step 113, 0-1, mm Loss: 0.278855, Accuracy:  37.500000 %
Step 114, 1-0, mm Loss: 0.256269, Accuracy:  68.750000 %
Step 115, 1-1, mm Loss: 0.215850, Accuracy:  43.750000 %
Step 116, 2-1, mm Loss: 0.152985, Accuracy:  18.750000 %
Step 117, 1-2, mm Loss: 0.144541, Accuracy:  37.500000 %
Step 118, 2-0, mm Loss: 0.212790, Accuracy:  37.500000 %
Step 119, 2-2, mm Loss: 0.066377, Accuracy:  62.500000 %
Step 120, 0-2, mm Loss: 0.220731, Accuracy:  31.250000 %
Step 121, 0-1, mm Loss: 0.289991, Accuracy:  37.500000 %
Step 122, 1-0, mm Loss: 0.293670, Accuracy:  50.000000 %
Step 123, 1-1, mm Loss: 0.213609, Accuracy:  43.750000 %
Step 124, 2-1, mm Loss: 0.140020, Accuracy:  62.500000 %
Step 125, 1-2, mm Loss: 0.141566, Accuracy:  43.750000 %
Step 126, 2-0, mm Loss: 0.206991, Accuracy:  62.500000 %
Step 127, 2-2, mm Loss: 0.068399, Accuracy:  56.250000 %
Step 128, 0-2, mm Loss: 0.205094, Accuracy:  50.000000 %
Step 129, 0-1, mm Loss: 0.282340, Accuracy:  50.000000 %
Step 130, 1-0, mm Loss: 0.275365, Accuracy:  62.500000 %
Step 131, 1-1, mm Loss: 0.217571, Accuracy:  43.750000 %
Step 132, 2-1, mm Loss: 0.138177, Accuracy:  50.000000 %
Step 133, 1-2, mm Loss: 0.152277, Accuracy:  25.000000 %
Step 134, 2-0, mm Loss: 0.202861, Accuracy:  62.500000 %
Step 135, 2-2, mm Loss: 0.067780, Accuracy:  56.250000 %
Step 136, 0-2, mm Loss: 0.226024, Accuracy:  31.250000 %
Step 137, 0-1, mm Loss: 0.283250, Accuracy:  56.250000 %
Step 138, 1-0, mm Loss: 0.257221, Accuracy:  75.000000 %
Step 139, 1-1, mm Loss: 0.204600, Accuracy:  50.000000 %
Step 140, 2-1, mm Loss: 0.141694, Accuracy:  43.750000 %
Step 141, 1-2, mm Loss: 0.142884, Accuracy:  43.750000 %
Step 142, 2-0, mm Loss: 0.193892, Accuracy:  56.250000 %
Step 143, 2-2, mm Loss: 0.069015, Accuracy:  50.000000 %
Step 144, 0-2, mm Loss: 0.217728, Accuracy:  31.250000 %
